index,weekday,mood,activities,datetime,date,small meal,ate in,sport,teaching,flight,cleaning,labour,Thảo,went out,left the house,ate out,music,online shopping,Up too late,drinking,shower,animals,Medical,walk,gaming,TV,YouTube,massage,holiday,hungover,Extreme,commute,acquaintances,browsing,groceries,bed too late,lesson,Vietnamese,Climbing,cinema,mental task,Meal,sex,cooking,home dinner,Irish,editing,Bed on time,Dessert,cycling,wanking,N2O,MD,train,stayed in,family,social media,soccer,Up on time,driving,journal,podcasts,friends,museum,acid,strangers,weed,reading,snacking,boardgames,sick,fine dining,photography,fast food,studying,relax,bus,guitar,coke,karaoke,Workout,time,rank,diff,newtime
2020-02-23 10:19:00,Sunday,4,"['small meal', 'Thảo', 'browsing', 'Up too late', 'shower']",2020-02-23 10:19:00,2020-02-23,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:19:00,1.0,0 days 10:36:00.000000000,4
2020-02-22 23:43:00,Saturday,4,"['home dinner', 'Thảo', 'TV', 'browsing', 'bed too late']",2020-02-22 23:43:00,2020-02-22,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23:43:00,4.0,0 days 05:24:00.000000000,2020-02-22 21:01:00
2020-02-22 18:19:00,Saturday,3,"['snacking', 'small meal', 'editing', 'stayed in', 'sex', 'Thảo', 'browsing', 'mental task']",2020-02-22 18:19:00,2020-02-22,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,18:19:00,3.0,0 days 04:55:00.000000000,2020-02-22 15:51:30
2020-02-22 13:24:00,Saturday,3,"['small meal', 'browsing']",2020-02-22 13:24:00,2020-02-22,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13:24:00,2.0,0 days 02:52:00.000000000,2020-02-22 11:58:00
2020-02-22 10:32:00,Saturday,3,"['Thảo', 'browsing', 'Up too late']",2020-02-22 10:32:00,2020-02-22,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:32:00,1.0,0 days 12:32:00.000000000,4
2020-02-21 22:00:00,Friday,4,"['fine dining', 'Dessert', 'left the house', 'Thảo', 'strangers', 'TV', 'bed too late', 'walk']",2020-02-21 22:00:00,2020-02-21,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,22:00:00,3.0,0 days 04:45:00.000000000,2020-02-21 19:37:30
2020-02-21 17:15:00,Friday,3,"['snacking', 'guitar', 'stayed in', 'Thảo', 'mental task']",2020-02-21 17:15:00,2020-02-21,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,17:15:00,2.0,0 days 06:24:00.000000000,2020-02-21 14:03:00
2020-02-21 10:51:00,Friday,3,"['small meal', 'Thảo', 'Up too late', 'shower']",2020-02-21 10:51:00,2020-02-21,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10:51:00,1.0,0 days 10:58:00.000000000,4
2020-02-20 23:53:00,Thursday,4,"['stayed in', 'sex', 'Thảo', 'boardgames']",2020-02-20 23:53:00,2020-02-20,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,23:53:00,4.0,0 days 04:32:00.000000000,2020-02-20 21:37:00
2020-02-20 19:21:00,Thursday,3,"['fine dining', 'Dessert', 'left the house', 'animals', 'family', 'browsing']",2020-02-20 19:21:00,2020-02-20,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19:21:00,3.0,0 days 03:54:00.000000000,2020-02-20 17:24:00
